Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C15, C20, C23, C27, C29, C3, C31, C34, C39, C5, C52",0402,13,10uF,
"C10, C14, C24, C28, C40",0402,5,100nF,
"C12, C16, C17, C18, C22, C26, C38, C46, C61",0402,9,1uF,
"C13, C19, C21, C25, C37",0402,5,4.7uF,
"C2, C30, C32, C33, C4, C45, C53, C6, C62",0402,9,0.1uF,
C35,0402,1,6.9pF,
C36,0402,1,0.5uF,
C41,0402,1,1.5uF,
"C42, C55, C56, C59",CP_EIA-1608-10_AVX-L_Pad1.25x1.05mm_HandSolder,4,1uF,
"C43, C58",0603,2,0.22uF,
"C44, C63",0402,2,22pF,
"C47, C51",0402,2,470pF,
"C48, C50",0402,2,1pF,
"C49, C60",0402,2,100pF,
"C54, C57, C64, C67",0603,4,0.1uF,
"C65, C66",0603,2,10uF,
C7,0402,1,2.2nF,
C8,0402,1,15nF,
C9,0402,1,390pF,
FL1,BFCN2275,1,BFCN-2275+,
IC1,QFN50P500X500X80-33N-D,1,ADF4355-2BCPZ,
IC2,QFN50P300X200X85-13N-D,1,LTC5548IUDB#TRMPBF,
IC3,SOIC127P794X203-8N,1,ATTINY13A-SN,
IC4,SOT95P280X145-6N,1,MAX2641EUT+T,
"IC5, IC9",SOT230P700X180-4N,2,LM7805MP_NOPB,
"IC6, IC8",SOT230P700X180-4N,2,ADP3338AKCZ-3.3-RL,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"J3, J4",SMA_Molex_73251-2200_Horizontal,2,50oHm,
J5,BarrelJack_Wuerth_6941xx301002,1,12V,
L1,0402,1,680uH,
LED1,LEDC1608X45N,1,150060VS75020,
R1,0402,1,0 Ohm,
R10,0402,1,50ohm,
R2,0402,1,51 Ohm,
R3,0402,1,1kOhm,
R4,0402,1,5.1kOhm,
"R5, R6, R7",0402,3,10kOhm,
R8,0402,1,16kOhm,
R9,0402,1,10 Ohm,
T1,TC414,1,TC1-1-13M+,
Y1,TG2520SMN500000MECGNNM3,1,TG2520SMN_50.0000M-ECGNNM3,
